PLAYER,REC_RATING
Brandon Aubrey(DAL),51.94
Harrison Butker(KC),48.39
Jake Elliott(PHI),48.26
Justin Tucker(BAL),47.49
Dustin Hopkins(CLE),47.42
Jason Myers(SEA),47.15
Cairo Santos(CHI),47.13
Matt Gay(IND),46.02
Greg Zuerlein(NYJ),45.49
Jason Sanders(MIA),45.42
Younghoe Koo(ATL),45.25
Cameron Dicker(LAC),45.02
Nick Folk(TEN),44.83
Chris Boswell(PIT),44.76
Wil Lutz(DEN),44.74
Chase McLaughlin(TB),44.57
Brandon McManus(JAC),44.35
Blake Grupe(NO),44.29
Jake Moody(SF),44.15
Matt Prater(ARI),43.59
Tyler Bass(BUF),43.44
Evan McPherson(CIN),43.23
Anders Carlson(GB),42.86
Ka'imi Fairbairn(HOU),42.76
Daniel Carlson(LV),41.71
Eddy Pineiro(CAR),41.27
Greg Joseph(MIN),40.46
Joey Slye(WAS),38.94
Riley Patterson(CLE),38.39
Brett Maher(LAR),34.39
Chad Ryland(NE),33.79
Lucas Havrisik(FA),33.76
Graham Gano(NYG),29.65
Randy Bullock(NYG),28.64
Michael Badgley(DET),27.65
Matt Ammendola(FA),24.77
Mason Crosby(NYG),24.59
Austin Seibert(NYJ),24.29
Andrew Jacas(SF),0.0
Mark Hickok(NYG),0.0
MacKenzie Hoambrecker(SF),0.0
Clint Stitser(WAS),0.0
Garrett Lindholm(ATL),0.0
Saverio Rocca(WAS),0.0
Kai Forbath(LAR),0.0
Carlos Martinez(DAL),0.0
Andrew Wellock(CAR),0.0
Ricky Schmit(SF),0.0
Garrett Rivas(TB),0.0
Jason Reda(CLE),0.0
Zac Derr(ATL),0.0
Parker Douglass(NYJ),0.0
Steven Weatherford(NYJ),0.0
Piotr Czech(PIT),0.0
Cade York(NYG),0.0
Matthew Wright(CAR),0.0
Connor Hughes(DAL),0.0
